,Group,protein,polysaccharide,pH,TN,SOC,AP,SWC,NO3_N,NH4_N,Acid,electric conductivity,Na_soil,K_soil,CN
BM19,BMH,448.8938789,573.6651697,6.70 ,2.710087649,51.56176143,68.76247505,0.287310455,258.4597285,12.2226664,1483.112458,3.30 ,2.65894842,0.011814662,19.02586488
BM20,BMH,331.0916667,568.5,6.70 ,2.518938124,49.37727936,102.9485257,0.264673417,171.7460911,12.01078275,136.6984383,2.83,2.409970015,0.008645677,19.60241853
BM21,BMH,491.0833333,572.2875,6.83,2.228203187,50.62652084,72.48255234,0.382998212,62.81512713,12.62747451,443.4974952,2.05,1.86795,0.007775,22.72078288
BF1,BFC,665.0066511,572.8425341,6.52,2.230004,51.45339571,55.45047287,0.261843003,77.83637394,14.02158705,5269.656628,0.74,0.073501499,0.007742258,23.07323023
BF2,BFC,624.234609,602.2046589,6.71,2.240587413,52.14778576,80.15952144,0.257304983,57.97171128,13.13,7969.662572,0.66,0.063942007,0.008973878,23.27415814
BF3,BFC,527.0326558,633.9136954,6.79,2.241984032,56.95313767,56.18762475,0.250685853,78.29246515,12.8197442,814.8870674,0.57,0.08935,0.0078,25.40300772
BF4,BFC,510.5337546,587.3212504,6.79,2.234238569,47.54375209,59.35162095,0.247610831,53.53036899,13.21678322,420.2488652,0.60 ,0.03632046,0.006549181,21.27962195
BF5,BFC,644.6274118,620.2636394,6.95,2.366726547,52.5226944,61.96901549,0.279195437,91.61513257,14.32713457,5269.656628,0.64,0.045008122,0.006697488,22.19212628
BF6,BFC,547.6757747,568.9436854,6.87,2.435472745,57.05696985,56.94375311,0.262195122,74.85240048,15.42691462,14444.8531,0.84,0.118595351,0.006373407,23.42747212
BF7,BFC,463.88335,579.3826853,6.92,2.368783217,47.91899376,46.36091725,0.257921232,79.17944954,12.31522173,2698.63153,0.71,0.119970007,0.007223194,20.22937068
BF8,BFL,546.9467554,544.875208,6.79,2.332241824,48.86926373,65.23904382,0.236353945,219.5659678,13.11426288,132.4698114,2.35,1.464175,0.00735,20.95377213
BF9,BFL,665.6707723,584.129494,6.91,2.25848951,49.09807904,57.39910314,0.271543016,148.9943205,11.73,224.3559803,1.82,1.123182613,0.008568574,21.7393434
BF10,BFL,479.9584027,588.344426,6.93,2.295468,53.24138273,71.49276086,0.228509816,121.4565634,12.41510188,124.8938962,1.57,1.091556333,0.009043218,23.19412979
BF11,BFL,526.5063249,547.578229,6.89,2.18078,47.11996235,63.40489266,0.213254593,232.2950989,16.02038777,461.3284605,2.15,1.496875,0.00685,21.60693071
BF12,BFL,526.1560213,567.9973387,6.91,2.25078,48.2743353,58.57071464,0.231065822,183.950504,13.92721456,271.4393,1.81,1.256039975,0.009294191,21.44782489
BF13,BFL,542.3301133,556.1417388,6.95,2.169791873,48.68589792,60.14962594,0.182688816,155.3409666,11.22775445,131.6484333,1.85,1.272697738,0.007197301,22.43804971
BF14,BFL,516.3752914,546.499334,6.91,2.40758,50.6925781,64.03596404,0.284644779,195.3554542,16.62667467,224.3559803,1.97,1.386105211,0.00834687,21.05540754
BF15,BFH,469.5026613,552.8817365,6.87,2.196503497,44.99907873,60.43956044,0.225226812,221.1043728,12.73,360.6659636,3.05,2.309967524,0.011191606,20.48668659
BF16,BFH,356.2978369,565.6655574,6.87,2.404170466,44.40859319,62.78026906,0.264778325,224.898124,14.60954663,347.3862419,2.96,2.254629514,0.012195427,18.47148271
BF17,BFH,480.598134,657.2517494,6.84,2.198890656,49.48586052,73.7,0.278259017,206.7537626,14.02439024,488.7705881,3.13,2.384711466,0.011991007,22.50492101
BF18,BFH,484.7938144,570.327569,6.87,2.22376,49.82339476,79.92027902,0.255312955,161.6490312,12.51748252,217.4785946,2.69,1.986984761,0.008968274,22.40502337
BF19,BFH,464.1918856,598.0254406,6.85,2.320242545,46.83976436,66.73306773,0.217540843,203.7159998,12.72745451,360.6659636,3.07,2.464900662,0.010945895,20.1874431
BF20,BFH,542.5108297,621.2970676,6.81,2.342257228,44.43253844,69.88551518,0.211567532,262.4802147,11.31868132,94.6767751,3.52,2.724728227,0.011320755,18.96996534
BF21,BFH,547.8583333,593.1125,6.82,2.059789891,49.8516859,67.33067729,0.213437313,174.4194555,11.81818182,655.0176181,2.93,2.292751812,0.007748063,24.20231603
