Source,Target,Weight
ASV_238496,ASV_65178,-0.960284428
ASV_179333,ASV_65178,-0.949494163
ASV_13023,ASV_65178,-0.899072646
ASV_168501,ASV_64213,-0.623307465
ASV_2876,ASV_63965,-0.832162019
ASV_134812,ASV_63965,-0.791646168
ASV_42790,ASV_63724,-0.846928278
ASV_4174,ASV_63015,-0.9397285
ASV_33160,ASV_63015,-0.863302788
ASV_33050,ASV_63015,-0.818002696
ASV_20561,ASV_62533,-0.9184445
ASV_149186,ASV_62533,-0.601353718
ASV_119411,ASV_62533,-0.8787525
ASV_33616,ASV_62396,-0.937694682
ASV_84095,ASV_61840,-0.052155619
ASV_61366,ASV_61840,-0.979334835
ASV_4197,ASV_61840,-0.604865077
ASV_40276,ASV_61840,-0.555020215
ASV_31734,ASV_61840,-0.99361729
ASV_187146,ASV_61840,-0.565868417
ASV_185153,ASV_61840,-0.891296947
ASV_183808,ASV_61840,-0.874355509
ASV_144081,ASV_61840,-0.635269559
ASV_137991,ASV_61840,-0.327168391
ASV_129568,ASV_61840,-0.380220745
ASV_117829,ASV_61840,-0.972950823
ASV_115847,ASV_61840,-0.560798568
ASV_109746,ASV_61840,-0.572376983
ASV_86135,ASV_61422,-0.928111502
ASV_238401,ASV_61366,-0.410954844
ASV_13023,ASV_61366,-0.916118959
ASV_83131,ASV_61017,-0.9023695
ASV_66201,ASV_61017,-0.816841606
ASV_200240,ASV_61017,-0.545956357
ASV_161793,ASV_61017,-0.935301459
ASV_39728,ASV_60973,-0.928705733
ASV_192395,ASV_60973,-0.976975925
ASV_91241,ASV_59435,-0.940602527
ASV_171714,ASV_59435,-0.893637874
ASV_197594,ASV_58901,-0.846555555
ASV_16470,ASV_58901,-0.901724049
ASV_227072,ASV_58530,-0.816175947
ASV_251811,ASV_5832,-0.881595157
ASV_144503,ASV_5832,-0.938925915
ASV_99210,ASV_57659,-0.947984708
ASV_20561,ASV_57659,-0.930438884
ASV_164369,ASV_57659,-0.844557335
ASV_26664,ASV_570,-0.776063528
ASV_180623,ASV_570,-0.951920608
ASV_175494,ASV_570,-0.8919405
ASV_79628,ASV_56651,-0.889199602
ASV_240270,ASV_56,-0.94370584
ASV_177863,ASV_56,-0.969355343
ASV_130121,ASV_55923,-0.914836
ASV_245242,ASV_54867,-0.8941815
ASV_193579,ASV_54817,-0.969805104
ASV_121822,ASV_54817,-0.913801191
ASV_187700,ASV_54496,-0.8685322
ASV_18832,ASV_54413,-0.720298726
ASV_149764,ASV_54413,-0.956114443
ASV_187942,ASV_54167,-0.924245796
ASV_175842,ASV_54167,-0.873042988
ASV_79628,ASV_54044,-0.931010013
ASV_127515,ASV_54044,-0.915818278
