,RM1,RM2,RM3,RM4,RM5,RM6,RM7
ASV_197325,0.002995252,0,0.001593219,0.001656948,0.001879999,0.001561355,0.001561355
ASV_80942,0.001338304,0.001433897,0.000732881,0.00079661,0.000764745,0,0.001242711
ASV_173439,0.001083389,0.000828474,0.001752541,0.001848134,0.001561355,0.00101966,0.001274575
ASV_157804,0.001561355,0.00079661,0.00101966,0.002071185,0.002039321,0.000892203,0.000924067
ASV_249227,0.001210847,0.000955932,0.001402033,0.001784406,0.001561355,0.001147118,0.001752541
ASV_20561,0.00152949,0.001911863,0.001242711,0.001370169,0.001338304,0.001593219,0.001051525
ASV_48123,0.001147118,0.001561355,0.001147118,0.001178982,0.001242711,0.001210847,0.001178982
ASV_112247,0.001338304,0.001051525,0.001242711,0.001210847,0.001242711,0.001433897,0.000732881
ASV_150885,0.001656948,0.000860338,0.001402033,0.000446101,0.000764745,0.001784406,0.001115253
ASV_114789,0.001178982,0.000860338,0.001242711,0.001497626,0.00152949,0.001115253,0.000987796
ASV_85414,0.001274575,0.001338304,0.001593219,0.001561355,0.001497626,0.00079661,0.001051525
ASV_235406,0.001242711,0.001242711,0.000955932,0.001370169,0.001051525,0.001178982,0.001402033
ASV_84399,0.001593219,0.000892203,0.000955932,0.001083389,0.00101966,0.001274575,0.000605423
ASV_92371,0.000892203,0.0023261,0.001943727,0.00079661,0.000860338,0.000860338,0.001274575
ASV_13096,0.000764745,0.001784406,0.001656948,0.000860338,0.001051525,0.000732881,0.001051525
ASV_114788,0.000924067,0.001752541,0.001274575,0.00152949,0.000764745,0.001178982,0.000541695
ASV_201227,0.001433897,0.00101966,0.001497626,0.001911863,0.001210847,0.001115253,0.001210847
ASV_89091,0.000955932,0.000637288,0.000732881,0.001370169,0.001210847,0.00079661,0.000764745
ASV_238873,0.000955932,0.000860338,0.000764745,0.001115253,0.001274575,0.000924067,0.000892203
ASV_181331,0.001051525,0.000637288,0.000987796,0.001210847,0.001338304,0.001497626,0.000987796
ASV_42852,0.001688812,0.000318644,0.001083389,0,0.002421693,0.00152949,0.000732881
ASV_93757,0.000541695,0.000701016,0.000955932,0.001051525,0.002867795,0.001497626,0.000892203
ASV_238401,0.00079661,0.000350508,0.001147118,0.000892203,0.000955932,0.000924067,0.000541695
ASV_134812,0.00130644,0.001561355,0.000637288,0.000892203,0.000669152,0.001242711,0.000701016
ASV_112686,0.000732881,0.000605423,0.000987796,0.001051525,0.001242711,0.000860338,0.00101966
ASV_100462,0.000732881,0.000732881,0.001625084,0.000924067,0.001561355,0.000892203,0.001178982
ASV_91097,0.000669152,0.001274575,0.001370169,0.000414237,0.000637288,0.001338304,0.001402033
ASV_113162,0.001051525,0.000446101,0.000764745,0.000446101,0.000637288,0.000892203,0.00079661
ASV_214237,0.002007456,0.00079661,0.000637288,0.000732881,0.000987796,0.001338304,0.000955932
ASV_251811,0.001051525,0.003186439,0.001242711,0.00101966,0.001784406,0.000637288,0.000605423
ASV_231932,0.001274575,0.001210847,0.000732881,0.000892203,0.000732881,0.001115253,0.001178982
ASV_74969,0.001242711,0.000924067,0.00152949,0.001911863,0.001370169,0.001338304,0.001784406
ASV_101965,0.001752541,0.001178982,0.001083389,0.001848134,0.001178982,0.000892203,0.001147118
ASV_13023,0.001274575,0.000637288,0.001625084,0.001402033,0.001210847,0.00152949,0.000955932
ASV_163361,0.00101966,0.007806774,0.001210847,0.000892203,0.000382373,0.000892203,0.000669152
ASV_196443,0.000955932,0.001178982,0.000955932,0.00101966,0.000669152,0.000764745,0.00101966
ASV_86007,0.001178982,0.001593219,0.000701016,0.001625084,0.001210847,0.001210847,0.001083389
ASV_124398,0.001051525,0,0.000924067,0.002166778,0.001561355,0,0.001625084
ASV_229559,0.001879999,0.000892203,0.000828474,0.000892203,0.001210847,0.00101966,0.00079661
ASV_49844,0.001083389,0.000414237,0.000924067,0.001688812,0.00101966,0.001784406,0.002134914
ASV_238501,0.000669152,0.000477966,0.001242711,0.001051525,0.000828474,0.001178982,0.000477966
ASV_112781,0,0.000732881,0.000637288,0.000382373,0,0,0.000477966
ASV_199464,0.001147118,0.00050983,0.000860338,0.000732881,0.001242711,0.000924067,0.000828474
ASV_18832,0.001115253,0.000573559,0.001625084,0.00101966,0.001943727,0.001911863,0
ASV_157127,0.001274575,0.002421693,0.000669152,0.000828474,0.001083389,0.001083389,0.000987796
ASV_195007,0.001115253,0.001051525,0.001338304,0.00101966,0,0.001593219,0.002071185
ASV_39728,0.001051525,0.002644744,0.001147118,0.001115253,0,0.001848134,0.000924067
ASV_197594,0.0023261,0.00050983,0.001178982,0.001784406,0.000892203,0.000828474,0.00079661
ASV_11103,0.000828474,0.002453558,0.00152949,0.00181627,0.000573559,0.001274575,0.001465762
ASV_200240,0.00101966,0.000701016,0.001656948,0.001178982,0.001688812,0.001402033,0.001465762
ASV_59589,0.000987796,0.000955932,0.001178982,0.00130644,0.001338304,0.00079661,0.001274575
ASV_167245,0.000573559,0.000637288,0.000446101,0.001433897,0.001688812,0.000605423,0.001879999
ASV_133282,0.002198643,0,0.000701016,0.001561355,0,0.00152949,0.000732881
ASV_4174,0.000669152,0.001242711,0.001402033,0.001402033,0.000924067,0.00101966,0.001561355
ASV_209141,0.00101966,0,0.001370169,0.000605423,0.000605423,0.001274575,0.001338304
ASV_210076,0.000669152,0.001051525,0.000637288,0.001178982,0.00079661,0.000701016,0.000892203
ASV_4825,0.00079661,0.000860338,0.001147118,0.00101966,0.001083389,0.000860338,0.000987796
ASV_19161,0.001433897,0.001242711,0,0.001402033,0,0.00101966,0.001210847
ASV_200748,0.001625084,0.000924067,0.001402033,0.001433897,0.000987796,0.001688812,0.00152949
ASV_44397,0.00101966,0.000637288,0.00079661,0.001115253,0.000987796,0.000637288,0.000892203
ASV_184605,0.001370169,0.00079661,0,0.000541695,0.001848134,0.00079661,0.001210847
ASV_49605,0.001402033,0.000350508,0.000446101,0.001433897,0.001115253,0.000446101,0.000955932
ASV_13965,0.001115253,0.000541695,0.000892203,0.000892203,0.000987796,0.000701016,0.000892203
ASV_161355,0,0.000701016,0.000573559,0.000987796,0.00079661,0.000955932,0.001561355
ASV_16135,0.001465762,0.002708473,0.000892203,0.000764745,0.000286779,0.000573559,0.000446101
ASV_4912,0.000573559,0.00101966,0.000764745,0,0.000446101,0.000892203,0.000987796
ASV_148210,0.001115253,0.000924067,0.001625084,0.00312271,0.003027117,0.000701016,0.001656948
ASV_224412,0.000955932,0.000828474,0.000860338,0.001402033,0.000764745,0.000637288,0.001051525
ASV_81263,0.001720677,0.000318644,0.001593219,0.001688812,0,0.001242711,0.000860338
ASV_41112,0.001210847,0.00152949,0.000892203,0.000987796,0.001242711,0.000924067,0.001051525
ASV_80122,0.000860338,0.001752541,0.001147118,0.00130644,0.000924067,0.000637288,0.000732881
ASV_25946,0.000414237,0,0.000764745,0.001497626,0.001178982,0.000446101,0.000828474
ASV_199888,0.000860338,0.000892203,0.000701016,0.000541695,0.00050983,0.000828474,0.001370169
ASV_154218,0.000732881,0.000924067,0.001178982,0.000764745,0.00079661,0.000892203,0.001083389
ASV_145176,0.001083389,0.001083389,0.000828474,0.00079661,0.001178982,0.001338304,0.000828474
ASV_150109,0.001338304,0.000446101,0.000924067,0.000955932,0.001051525,0.000955932,0.000732881
ASV_185153,0.000350508,0.001593219,0.00050983,0.000573559,0.000446101,0.000892203,0.001433897
ASV_229885,0.000828474,0.001370169,0.000669152,0,0.000573559,0.00101966,0.001178982
ASV_25639,0.000446101,0.002071185,0.001370169,0.001051525,0.000860338,0.000669152,0.00130644
ASV_13791,0.000127458,9.56E-05,0,0.000701016,0.000127458,0.000191186,0
ASV_223886,0,0.000159322,0.000159322,0,0,0,0
ASV_115780,0,0,0.001274575,0.00152949,0.001115253,0.001051525,0.000892203
ASV_206167,0.000541695,0.000669152,0.000573559,0,0.000223051,0.000701016,0.000605423
ASV_177177,0.000286779,0.000223051,0.000318644,0.000350508,0.000573559,0.000605423,0.000382373
ASV_199086,0.000987796,0.000892203,0.000414237,0.001465762,0.000987796,0.001178982,0.000987796
ASV_127946,0.000860338,0.000955932,0.000637288,0.000350508,0.00079661,0.000892203,0.000477966
ASV_31734,0.000669152,0.001625084,0.000637288,0.000701016,0.000637288,0.000573559,0.001083389
ASV_250071,0.000892203,0.000573559,0.000924067,0.000892203,0.000573559,0.000732881,0.000541695
ASV_2876,0.000732881,0.001178982,0.00050983,0.001083389,0.000382373,0.000955932,0.000732881
ASV_40168,0.000892203,9.56E-05,0.000573559,0.001242711,0.000350508,0.000350508,0.000477966
ASV_166672,0.000701016,0.000223051,0.000254915,0.000350508,0.001051525,0.000382373,0.000414237
ASV_72610,0.001051525,0.000414237,0.00152949,0.000669152,0.001338304,0.00101966,0.000414237
ASV_94762,0.000828474,0.001688812,0,0.000764745,0,0,0.000860338
ASV_68105,0.000732881,0.001051525,0.001274575,0.000892203,0.000955932,0.001115253,0.000764745
ASV_177448,0.000223051,0.000446101,0.000254915,0.000860338,0.000318644,0,0.000191186
ASV_98509,0.001115253,0,0.000732881,0.000414237,0.000382373,0.000541695,0.000669152
ASV_187146,0.000764745,0.002166778,0,0.00079661,0.000732881,0.000892203,0.001593219
ASV_213071,0.001274575,0,0.001402033,0,0.000701016,0.001242711,0.000955932
ASV_80392,0.001338304,0.00079661,0.000987796,0.000191186,0.000701016,0.001178982,0.000669152
ASV_210124,0.000892203,0.000892203,0.000924067,0.000446101,0.001433897,0.000605423,0.00079661
ASV_170848,0,0.000159322,0.000701016,0.000382373,0,0.000669152,0.000414237
ASV_180382,0.000541695,0.000414237,0.001338304,0.000732881,0.001051525,0.000987796,0.001178982
ASV_32788,0.000605423,0,0.000637288,0.000414237,0.000605423,0.000701016,0.000860338
ASV_7432,0.001147118,0.000605423,0.002071185,0.000637288,0,0.001210847,0.000987796
ASV_203125,0.000477966,0.000987796,0.00130644,0.000924067,0.000701016,0.00050983,0.001083389
ASV_34534,0.001115253,0.000414237,0.00079661,0.00152949,0.000955932,0.001115253,0.001274575
ASV_233136,0.000732881,0.00079661,0.00079661,0.000446101,0.000860338,0.000701016,0.000605423
ASV_60271,0.000764745,0,0,0,0.000828474,0,0
ASV_129285,0.000860338,0.000414237,0.000764745,0.000477966,0.000446101,0.000382373,0.000573559
ASV_44329,0.000955932,0.000924067,0.001178982,0.001402033,0.000987796,0.001879999,0.001274575
ASV_241078,0.000605423,0,0.000701016,0.000318644,0.000382373,0.000828474,0.000669152
ASV_2037,0.000892203,0.000828474,0.000669152,0.000732881,0.00079661,0.000669152,0.000414237
ASV_96454,0.00079661,0.000732881,0.000987796,0.000892203,0.000701016,0.000541695,0.000828474
ASV_58901,0.000860338,0.001497626,0.001210847,0.000860338,0.001178982,0.001178982,0.001465762
ASV_64213,0.000605423,0.000987796,0.000924067,0.00101966,0.000924067,0.000605423,0.000987796
ASV_22707,0.001051525,0.00050983,0.00050983,0.000350508,0.000764745,0.000414237,0.000477966
ASV_199700,0.000892203,0.000286779,0.000955932,0.000477966,0.000764745,0.00079661,0.000669152
ASV_57249,0.000924067,0.00050983,0.000382373,0.000541695,0.000732881,0.00101966,0.000987796
ASV_136682,0.000605423,0,0.001370169,0.001242711,0,0.000955932,0
ASV_210697,0.00050983,0.000446101,0.000860338,0.001338304,0.000701016,0.001147118,0.000701016
