,DB,DT,pH,TN,SOC,AP,SWC,Acid,DDL,Na_soil,K_soil,CN
RM1,690.625,547.3452064,6.88,2.279526667,39.10361689,34.43113772,0.228907659,820.91802,1.13,0.155075,0.0109,17.15427043
RM2,684.3250666,591.8442077,6.92,2.463944334,41.80710323,68.5286783,0.246031746,590.5792892,1.02,0.171978503,0.010873641,16.96755185
RM3,659.5561292,498.7341772,6.93,2.418115768,45.75267045,53.2,0.25268076,4909.533507,1.05,0.180514614,0.008018986,18.92079405
RM4,673.7940785,604.7987359,6.94,2.450782435,43.42586173,56.47410359,0.250583431,543.0519497,1.17,0.209696364,0.010471073,17.7191827
RM5,659.146951,538.9870043,6.98,2.467259701,50.06041319,73.75249501,0.263800425,4108.361446,0.95,0.157401624,0.010518426,20.28988402
RM6,628.4514305,360.2129075,6.99,2.236646707,58.2232728,63.67713004,0.255029006,2194.488842,0.93,0.129092727,0.010222444,26.03150181
RM7,706.3789947,618.5502663,7,2.542522954,53.89994407,61.35458167,0.471945701,2194.488842,0.83,0.123672705,0.008619613,21.1993933
